,excerpt_and_book
"“Quick ~ everybody into the seats and get strapped in!” said Max. A recorded voice started a countdown, “Five, four, three, two, one ..” “BLAST OFF!” said Tiger, as the spaceship started to rise. Journey to Mars",2
"But one day Tom's Dad said to him, ""Tell you what, lad, why don't I teach you how to play football like the other children?’ He took a marble from his pocket and he put it, plonk, rumble-roll, onto the table. 23Tom thumb and the football team pg48/2289_right.png",2
"So the milk he sold was only half milk. And that way he got twice the amount of money he deserved. The mikman thought he was pretty clever doing this. The villagers were simple, honest people. And, if the milk sometimes tasted a bit thin, they would just shake their heads and say, “The cows are drinking a lot of water in this hot weather!"" 31The huge and horrible beast and other stories pg64/2023_right.png",2
"They tiptoed closer. But the chicken’s sharp eyes saw them coming. She flapped up on to the café roof. “That worked well,” scoffed Tiger. “Any better ideas?” asked Max, crossly.Escape of the giant chicken pg32/8_right.png",2
"They glanced around to see if there were any X-bots lurking in a corner. But they were alone. “Just look at those!” Cat stared at all the snow globes. “1 think we can safely say this is one of the Collector's hideouts,” Ant whispered. Max turned to Cat. ""Any sign of the Driller?” ‘According to my watch we're right on top of it.” Cat began prowling round the room. “There's another door over here. I'll check behind that.” “Wait a minute.” Ant hissed. “Before you go anywhere, you need to take a closer look at these globes.” ‘Not up to the Collector's usual standards, are they?” Max inched along the shelves peering into each glass sphere. He had expected to see stolen treasures or top secret inventions miniaturized and displayed like ornaments to satisfy their enemy’s egotistical cravings. But he couldn't spot anything much atall. There’s nothing but some kind of mist in this one.” He frowned. “And this one is just a regular snow globe. With ... err ... snow in it.” Storm Chasers",2
"‘Ah, Miss Grace,’ I said with a nervous smile. ‘How glad we are to find you alive. The men sent me for you, You see, my dear, we know it was you who saved us from the storm.” I could see the surprise on her face. But she still didn’t trust me. So I told her the whole story. ‘We've had an ‘orrible time of it. After we left you we drank away all our booty, Then we got caught by the Navy. 4Grace the Pirate/25_left.png",2
"“You see ... I just, um ... thought that ...’ Doohickey tried to explain. ‘The professor gave Doohickey an even harder stare. ‘It was all my fault,’ said Doohickey. ‘Absolutely,’ agreed the professor. Doohickey gazed around the attic. It had been untidy to start with, But that was nothing to how it looked now. The professor was giving him another hard stare. Doohickey and the Robot",2
"Fact File: RHINOCEROS General: ‘There are five species of rhinoceros. Some species have two horns and others have one. Population: ‘There are about 3700 black rhinos left in the wild. Status: ENDANGERED Threats: Poachers Grass and leaves Parts of Africa and Asia Rhinos usually live alone. They use their horns to defend themselves, Big Game Adventure",2
"Caving hazards Hypothermia: caves can be cold and wel, Ifa caver’s body loses too ‘much heat, then they get very ill. Wearing the right kind of clothing is essential Folis: unfortunately accidents do happen. This is why itis important never to go caving alone. Even experienced cavers should go caving with at least two other people. In an emergency, one person should stay with the injured person and the other ean go for help. Getting fost itis possible to become disorientated in a cave, so it is important for cavers to look around often to get their bearings, Getting stuck: caves often have tight spaces and it is possible to get stuck ~ although this does not happen often. Falling objects: proper caves (as opposed to manmade tunnels ~ mines, etc) are generally very stable. However, there may be boulders, rocks or rubble that can come: loose. A hard hat is essential Flooding: some caves can flood. It is important to get expert advice before going into a new cave. Adrenaline Rush",2
"She tossed the tiddlers back, took half a dozen big fish and pushed a stick through each one. Then she strung them across her barbecue. A delicious smell of grilled fish floated across the sand and into the trees. While she was busy eating, out of the comer of her eye she noticed something moving. There were two shadowy figures among the palm trees. 30Grace the Pirate/18_left.png",2
"“Oh, Ma,"" thought Tom. “I wish I'd stayed safe home with you!"" He curled up small and cried. But it wasn't long before a fisherman caught that big fine fish and he sent the fish to the palace. 30Tom thumb and the football team pg48/2293_left.png",2
"Lily tried Akeem and Anton and Hassan and Hans. Each time the goblin said the same thing. “No, that is not my name.”Rumpelstiltskin pg32/461_left.png",2
"Supporting older children with reading ‘ute ap your ito heome dent a ruta x thong Sout tthe or reotng ae thir racing es nd ses hese bud there hyo eng an aap pessoa che whet hey ea Reading with your child poste hep ny Ganong ther esng i hy Ife the bls them become more vent reader Hf they do get ston ‘nacning of any new or ca words, Nou rol rad afew pags tour ei Tht portly afl {hes ltt sees tobe logy. ve ler cen sl enjoy eg treats weiner we oon. yb to [After reading this book 1 Ta but it your cd ieddsed about ts boo cealietanourspmackendice ac ie stouk Prec gong into the Chotenge Deep gorge fhe Ht tine Gee ges 7330 Exploring the deep",2
"‘Hang on,’ cried Nick. He limped onto the pitch pushing a trolley. There was a slightly dented urn on the trolley. He poured the tea into the cup. All the players took a great gulp of delicious tea. ‘So it was you who made the tea,’ said Steve.The big chance pg32/55_right.png",2
"“Each one must have strengeh. (I'll put that in their hearts.) And a lively mind. (I'll make sure they've got good brains.) And spirit... and energy ... I'll give them some of mine! ‘That should help. I’m a god. I have plenty. Then I'll send themall, to live and work and love, on my splendid new rocky islands? How the world began",2
"“That was hard work,” said Biff. Dad came into Biff’s room. “Hurry up,” he said. “We've still got lots of jobs to do. Then we have to walk Floppy.” “Oh no!” said everyone.The big Breakfast pg32/227_right.png",2
"“Can I, Ma?"" asked Tom. ""No, my darling, you cannot."" “Why not?"" asked Tom. ""Because,"" said his mother, ""You are teeny-tiny precious. Those other boys might tread on you! No, you stay safe inside with me."" 26Tom thumb and the football team pg48/2291_left.png",2
"The deep seais one. ‘of the most unexplored areas left on tenn ts cna mysterious creatures | stole witout fob ere ner aderndtaHe bot raoceantcan reach depths IPI 2500 metres saepean be up 70 ceiees ee males are uch smal Yor1S eantimetes!ong ther doe seafsh one ger fa gtsitsname ton he ree pine athangsin ont of ton angle? issomeone he a sspie ooesive # ites fon gy, Thespian a el PY then iti ioinie Sak 2 grt gait these deste st see ahight to soe the fs’s boo noe othe rod, sh aac titey resnapecd PLY soot isk ssharp tet Exploring the deep",2
"Equipment Compared to other water sports, you don't need a lot of equipment to kitesurf. This is one of the reasons why itis becoming, so popular, Equipment should be checked regularly for signs of wear and tear. tubes. Thess ‘grab’ the wad ~ much ike che sail of Fels extoraly mpectant tata K:esuter can y ane Adrenaline Rush",2
"‘This house is TOO small,’ said his mum. Next day, there was a ‘For Sale’ sign stuck by Franklin’s door. Franklin and his best friend Josh stared at the words of doom. ‘What am I going to do, Josh?"" said Franklin.Stinky street pg32/108_right.png",2
"Hooves Animals like zebras, g deer can kick out strongly against predators with their hard hooves, Horns Many animals have horns Antelopes and gazelles have sharp horns that grow longer each year. By moving their heads up and down, they make the horns look dangerous, Tails Animals also use their tails for defence. A rattlesnake shakes its tail to make a buzzing sound. ‘This warns other animals: “Stay away, 1 have a poisonous bite!Animal Conflicts pg32/5_right.png",2
"The children raced after the chicken. Shelly ran round the back of the café and began pecking at some old food in a bin. “We'll creep up on her,” Max told them. “Follow me.”Escape of the giant chicken pg32/8_left.png",2
"‘Then he came among them, and they crowded about him. Their breath and their touch was icy. They clutched at his clothes, at his hair, at his beard, at his arms. They were behind him, in front of him, beside him — he couldn't escape them. They pressed themselves against him, because they smelled his warm blood and 42 Tales of the Underworld",2
In the quarry It only takes five minutes to run to the old quarry. My chest is burning when | get there and I’m gasping for breath but I don't stop. I go skidding down through the trees to the quarry floor. I keep getting these awful pictures in my head. Of Goldie snatched out of the sky by cruel claws. Just as she’s almost reached her home. Waiting for Goldie,2
"“Come quickly,” said Rose. “The food is ready. We must take it to the dining room.” “Hurry up and don’t forget Lord Plum’s newspaper,” said Mrs Fry.The big Breakfast pg32/225_left.png",2
"""The twilight zone yk The next layer down is known asthe twilight zone. Very litle sunlight can reach these depths. The temperature is much colder = itean drop as low as 5° Celsius, and there is less oxygen in the water. This layer ranges from 180 metres to about 900 metres down ~ the height of 220-storey building! Can you stand the pressure? The pressure in the twilight zone is very high This means that humans cannot dive down to the twilight zone without special equipment. ‘Water pressure weighs down on allthe air spaces in your body. Itis caused by the weight ‘of the water above you - the more water there is over your head, the greater the pressure it puts.on your body. Tiny bubbles of air form in the blood stream ‘when you swim in very deep water. You have tolletthem out slowly when you come back to the surface, otherwise its like opening a bottle ‘of lemonade too quickly. The bubbles fizz out 00 fast and you might get the bends. This isan illness that gives you joint pains itching and skin rashes and makes you feel breathless and dizzy. Water pressure is caused bythe weight ofthe water above you, i slike holding hes weight Exploring the deep",2
"Max took a step back. This wasn’t what he'd been expecting. “You will give the watches back to us though, won't you?” “Vm sorry, Max,” said Dani, smiling at him, “know this must be disappointing. But your micro-adventures are over. Come with me and Il try to explain.” Dani strode into the building, the kids hurrying to keep up. They reached the basement — that had once been the headquarters of Dr X. The room had been imposing then, and it had been full of tiny robots called X-bots, ready to do Dr X's bidding. But it had been given a complete makeover. Now it was more impressive than ever. The room was filled with gleaming metal surfaces and computer screens. There were still X-bots, but now they were locked in rows of display cabinets. They looked like objects in a museum But what the children were most interested in was a raised platform in the centre of the room. Upon it sat four shiny micro-sized vehicles. Each one was disguised to look like an animal. The children gazed open-mouthed at the vehicles “Wow! What are those?” asked Cat. “My new X-crafts,” replied Dani, proudly. x Team X",2
"Doohickey was jumping up and down in front of the robot, trying to hit the buttons on its chest. Newton was sitting on a tall cupboard, enjoying the show. Doohickey and the Robot",2
"Kevin turns and looks at William's feet then laughs. KEVIN Can‘t you afford new boots? Rubbish car. Rubbish trainers (laughs again). WILLIAM (to himself) Please don’t make Kevin a captain. Please don’t make Kevin a captain. MR CROSBY Kevin, Mai, out the front. William sighs. Mai and Kevin go and stand by Mr Crosby. MR CROSBY (cont .) Choose your teams. WILLIAM (to camera) At least Mai will pick me. We’ve been friends for ages. Mai sam. A boy, SAM, steps forward. KEVIN Ali. ALI joins Kevin. Mai Rick. Ultimate Takeover",2
"As they lifted him into the ambulance he caught sight of a dog wearing a bright yellow jacket, Funny, he had never really liked dogs much. How strange that one should have saved his life. Wearily he closed his eyes as the ambulance drove him away, Kelly the rescue dog",2
"Well, I was really pleased. But I was really worried too. Because I haven't taken the splint off Goldie’s leg yet. T don’t know if it’s mended properly. 1 don’t know if she'll ever race again. So here I am, sitting outside Grandad’s pigeon loft, worried sick. He'll be coming home in about an hour's time, Waiting for Goldie",2
"They could lead a gang of the toughest, meanest villains on God’s earth — against the biggest ships and the strongest forts. Even against entire cities. They didn’t all start out as pirates Some fell into pirate hands and had no choice. Either they walked the plank or served under the skull and crossbones. phere were women too; and some were as tough as any man, All the same, it was a pirate rule that: But some did of course. Sometimes they chose to; sometimes they became pirates by chance. My story is about one such lass: young Grace Barry.Grace the Pirate/5_left.png",2
"So he picked up the pig, tucked it under his arm and walked on. It was getting dark and Zé was more than a little bit tired. So he decided to find a place to spend the night. About halfway up the hill there was a small house. He thought he would ask if he could spend the night there.The huge and horrible beast and other stories pg64/2014_left.png",2
"DAD Sorry, son. I have to go to work. GRANDAD But I haven't given him my present yet! DAD You don’t need me here for that. I'm going to be late at this rate. I can’t afford to be late for work. You understand, don’t you, Will? WILLIAM (sadly) Course, Dad. I know you have to go. Sorry, son. Dad gives William a quick hug then leaves the room. ut 1/11 fix your tea. Lasagne OK? WILLIAM Great. Mum also leaves the room, Sasha is bored and puts on the TV. (GRANDAD Here you go, William. Ultimate Takeover",2
"Ray meets Hilda aatigin al nx ? eC de = —— The tea stand was an old caravan. Ray joined a quiet queue of fans. ‘V'd like one cup of tea please, with @ dash of milk and no sugar,’ said a big man. ‘You'll get it how I make it and you'll like it,’ boomed a voice from inside the caravan. The next man in the queue already had a cup of tea. ‘Excuse me,’ he said politely. ‘Yes,’ boomed the voice. ‘I’m sorry to bother you,’ continued the man. ‘But this tea is not very nice.’ nellThe big chance pg32/46_left.png",2
"‘Most of the men shuffled their feet nervously. ‘Now, listen to what I say,’ continued Grace. ‘Take it or leave it. Since I'm captain, | rename this ship She Devil. Haul down the Jolly Roger and run up the Jolly Jane. We'll have a woman on a red flag instead of that skull and crossbones. That'll show who's boss ‘Next, we'll rob only rich ships from the Spanish Main. And we'll give half our booty to the poor along the coast. The rest we'll divide up fairly among the crew. For a start, we'll all take equal shares of my treasure chest!’ 48Grace the Pirate/27_left.png",2
"“What else is for breakfast?” asked Biff. “Kippers, oyster bread, beetroot pancakes, ale and ice-cream. Nothing too fancy,” said Rose. “I'll get it ready. You get on with the jobs on the list.”The big Breakfast pg32/221_right.png",2
"A buzz of excitement rose from end to end of our ship. Grace had no choice. She would have to stand and fight ~ or die with the rest of us. ‘Right, men, to your posts,’ she shouted. ‘We'll attack from the stern so as to avoid their guns.’ Calling to the chief gunner, she added, ‘Mister Feltham, keep your powder dry. When we get close, shoot her sails down. That way, she can’t make a run for it”Grace the Pirate/29_left.png",2
"Tom's mother opened the door. She looked in front of her. She looked to the left and to the right. “There's nobody there!"" she said. But Tom kicked at her ankle. “It's me, Ma!""Tom thumb and the football team pg48/2287_right.png",2
"The hall was lit by a single light bulb that hung from a cable in the middle of the ceiling. Light struggled to get in through the dirty windows, but the hall was still dark and dingy, and eerie shadows jutted out from each corner. A worn out red carpet wound up a flight of stairs and wooden panels lined the walls. At the side of the stairs Jack noticed a door. As he stared at it, he swore he saw the handle move. An icy chill ran up his spine. “Don't think you're going to get the biggest room."" Stacy barged past, dragging the bin liner behind her. Jack was knocked to one side, and he had to grab on to the wooden banister to stop himself falling. “Ow!” he yelled, as a splinter dug into the palm of his hand. “Hey!” called their dad, from the kitchen. “Be nice!” “Yeah, right,” muttered Jack. He sucked his hand. The splinter was large, so he managed to get it out with his teeth. He spat the wood on to the floor. The splinter had gone in deep. A drop of blood fell on the carpet mingling with the red threads. Ultimate Takeover",2
"56 Orpheus played again. The ghosts wept bitter tears, hearing that music and knowing they would never hear such music again. They did not want it to end. But music must end. Orpheus stopped playing and held out his hand to Eurydice. She stepped forward to take it, ‘Then Hades said, ‘Iwill let Eurydice go — but you must not look at her until she stands in the sunlight? Orpheus dropped his hand and looked at Hades. ‘Great King, you gave your word’ Hades smiled. ‘I keep my word. If you can climb back to the upper world, and never once look behind you, never once look at Eurydice until she stands under the sun ~ then she may return to the living, Yet if you once look - if you glance - behind, then she is still mine? Orpheus looked at Persephone, but she shook her head. ‘He is King here? she said. Orpheus said to Eurydice, Follow me. I shall not look back? Tales of the Underworld",2
"What happens to your body? ‘The deeper a freediver goes, the greater the water pressure is around them. This has several effects on the body. The pressure on the ears increases. The eardrum Js pushed inwards. The heart rate slows. Blood js drawn away from extemal parts of the body (hands, feet, etc) to the vital organs (heart, brain, etc) More oxygen is sent to the lungs. Try this . Ask an adult to look up Guillaume Ny o- Willarn Trubridge on YouTube, and watch how these two feedivers do tt Adrenaline Rush",2
"Boulder Ball It was a sunny afternoon in Volcano Valley. The dinosaurs had met next to the lake. They were going to play boulder ball. Steggs and Tricky were the team captains, “T want to be a captain,” squeaked Cosmo. He was the smallest dinosaur.cosmo the captain pg32/214_right.png",2
"Chapter 2 For forty-nine days Tehang trudged across deserts and over mountains until he came to a dark forest. His bread had run out long ago and he was so tired and hungry, he could hardly walk. Evencually, he reached a tiny house. In the yard, a lovely young girl was drawing water from a well. ""Hello, there!"" Tchang called, She smiled at him, but she did noe reply An old lady appeared at the door of the house. ‘I sce you've met my granddaughter, i; she called. ‘Please don’t mind that she didn’t greet you. Since the day she was born, she hasn't spoken a word. Ie makes me very sad? 30. ails (oy) eyelet Dragon Tales",2
"So the grown-ups sat and talked about the weather and drank tea as grown-ups do. And Tom told the children all about the King and the palace and how he came to be there. ""Oh, wow!"" they said. 41 Close bookTom thumb and the football team pg48/2298_right.png",2
"‘They got under the gate just in time. Then it shut with a loud clang. Biff didn’t like the adventure much. It was hard work, “It’s not fair,” she said. “This is Nadim’s adventure and he’s not even here.” 16Storm castle pg32/370_left.png",2
"Simon watched her closely. He was waiting for her to start barking. That was the signal she was trained to give him if she found something, But Kelly did not bark. Instead she backed away from the place where she had been standing. No use wasting time there. No scent of human breath. She turned to the right and began again. Kelly the rescue dog",2
"And as in uffish thought he stood, The Jabberwock, with eyes of flame, ‘Came whiffling through the tulgey wood, And burbled as it came! ‘One, twot One, two! And through and through “The vorpal blade went snicker-snack! He left it dead, and with its head He went galumphing back. “And hast thou slain the Jabberwock? Come to my arms, my beamish boy! © frabjous day! Callooh! Callay!? He chortled in his joy. “Twas billig, and the slthy toves Did gyre and gimble in the wabes All mimsy were the borogoves, And the mome raths outgrabe, Jabberwock",2
"18 The door shut and they found themselves in a room full of mirrors. Each mirror made them look a funny shape. In one mirror they looked fat and round, In another they looked long and thin. In another they had funny-shaped heads.Storm castle pg32/371_left.png",2
"It’s hard work. My eyes keep closing. ‘Don't fall asleep!’ | whisper to myself. 1 ‘stay awake!’ The trainers are behaving themselves so far. They haven't moved at all. But their spider eyes are glittering in the dark. I don't trust them. They're very sneaky. As soon as I close my eyes they'll be off, on | their own. | But my eyelids are so heavy. My head is )) dropping down. ZZZZ2ZZZZ2ZZ2Z222Z ~Dangerous Trainers, pg32/10_left.png",2
"30 Snap jumped up and wagged his tail. He liked having his photo taken. The next day everyone in Blossom Street saw him on the front page. The headline said, Snap goes by Bus! Lots of people came to ride on the bus with Snap so the bus driver made plenty of money. And Snap is still the boss dog of Blossom Street, even though he doesn’t live there any more.The Boss Dog of Blossom Street pg32/497_left.png",2
"30 ‘There's something else,’ said Ray. I want the club to look more modern. So I'm getting rid of this old caravan.’ ‘Oh,’ sniffed Hilda. ‘So you don't want me at all.’ “Yes, I do,’ smiled Ray. ‘So do alll the fans and the team. That's why Iam going to put you in charge of a brand new automatic tea machine.’The big chance pg32/57_left.png",2
"They wash their hands with the water to remove ‘the smell of the meat they have eaten. Then Liam ‘opens the tank, and Mark throws the Tshirt over the snake's head to keep it calm. Mark picks up the snake. It twists and turns in his hands. “You can put it down, now,” Liam says, when Mark is outside. “I can't!"" Mark whispers. “What do you mean, you can't?” says Liam, “It’s coiled around my arm!"" he says, with panic rising in his voice. ""Hold stil,” says Liam, He gently uncoils the snake until Mark is free. Then together they watch it slither off into the rainforest. “Mission accomplished!” says Mark. ipeteltead 4 oes ‘turn tu page BE HF you have successfully completed all three missions, turn ta page SL. Big Game Adventure",2
"Thank goodness ~ he’s gone out. It's nice and peaceful now. I can lie here on the floor and read my book. Stomp, stomp, stomp. The floor begins to tremble. Is a herd of elephants heading this way? No, it’s the new trainers. Here they come again - like great, purple, crushing machines. ‘Mind my book. You're trampling on it!’Dangerous Trainers, pg32/4_right.png",2
"And it discovered three new ways of splitting the atom. ‘Pretty good, eh? said the professor, when the robot had finished. ‘Cool!"" said Doohickey. He was really amazed. The huge, heavy robot had whizzed around the attic, and it hadn’t disturbed so much as a paper clip. ‘It can do anything I ask it to,” said the professor. ‘Anything?’ asked Doohickey. ‘Absolutely!’ said the professor. ‘Can I have a go?’ asked Doohickey. He wanted to ask the robot to build a space rocket or tell him next week's winning lottery numbers. Doohickey and the Robot",2
"He could just see a chink of light through the pile of rubble in front of them. They put their torches on again and grinned at each other. ‘Let's go!” They dragged Raf to a safe distance and attacked the mess that barred their way. they scrabbled madly at the broken brickwork, pulling and tossing the jumps aside. 42Air raid/24_left.png",2
"He put his hand into |] ... I held my his soggy bag and. breath and wished. Money? Money to buy my trainers? Then he a little soggy card pulled out (Lu idress Cx with an ad onit. ‘Pop in and see me,’ he said. And then he went leaving nothing behind but a patch of damp grass and some duckweed. | \ 4 Yj, a fae GA : <Cool Clive/22_right.png",2
"Aisha began a quick tour of the museum, talking as she walked. “This is the main gallery,” she said, proudly. “It’s full, of hands-on experiments.” Cat headed towards a giant machine that had all sorts of different levers, pulleys, cogs and wheels. She had just, reached up to pull a huge lever when Tiger cried: “Is that where we're going today?” He pointed excitedly to the double doors at the far end of the gallery. Above them the sign said: JOURNEY 7 TOMARS, Journey to Mars",2
"Kitesurfing w Have you ever flown a kite? Imagine doing it while standing on a board in the sea. Kitesurfing Js one of the fastest growing extreme water sports in the world. Kitesurfers stand on boards and use the wind to power latge kites across ‘open water, They can perform jumps and tricks if they fly the kite in a certain way. They can also 0 very fast ~ up to 50 knots. ‘Tre term ‘knots’ comes from an old sailing ‘etn for teling tne speed of & ship. 2 log woud be thrown into the water with a length of knotted rope tied toi. This vas left to trail behind the ship. The sumer of knots isthe rope that were ‘assed nto the water ina ven tie ‘would determine the speed ink"" AER retihetee. Adrenaline Rush",2
“We're not the crew!” yelled Biff. “Things might go wrong.” “Sing a song?” said Professor Tangle. “There’s no time for that. There’s far too much to do.”Submarine adventure pg32/280_right.png,2
"Imagine fighting an army of them! Leonardo drew plans for all sorts of weapons. He even designed tanks and submarines, 500 years before anyone else © I can't believe __] thought of them! my eyes! xthe life of leonardo pg24/219_right.png",2
"“Hold it yourself,” shouted Bantam Fogg, throwing a sack of treasure at him. A big fighe started: gorilla and monkeys against burglars. And then PC Dufite arrived. He climbed out of his patrol car looking very confused. He decided to arrest the gorilla for But when he got him in a headlock, Mr Otterbank’s mask came off. Close bookClever monkey pg64/1885_right.png",2
"Soon, they had cleared a small hole, and through it they could just see moonlight. “Yes! cried Harry. 1 going, keep going!” Both boys doubled their efforts, gasping, grunting and coughing, as their aching arms gradually cleared a hole big enough to squeeze through. “OK. That's big enough,’ said Harry. ‘Phew!’ He wiped the sweat from his face, and looked at Raf. He was fast asleep. ‘It'll be hours before he wakes up. You go first, Jack. PI push him and you pull.’ Jack clambered into the hole and wriggled through. Harry saw Jack's pale face peering back at him from the other ‘early there! Keep side. “Harr out here.’ hissed Jack. ‘You won't like itAir raid/24_right.png",2
"Chapter 8 - Back at base va ‘mt wm ‘wn vm vw ‘ng = ‘wn SS it didn’t take long to reach NICE, and soon they ill SS landed back in the control room. The children il ©) got out of Hawkwing and pushed the X on their [ji 4 watches until they were full-sized. ‘i ban| stood waiting forthent Hararne well AM folded, her lips pursed. Max gulped nervously. AM Cat, Tiger and Ant stayed behind him. a a7 Team X",2
"Tuesday, 1st December 1215 THE TROUBADOUR SPECIAL SOUVE ROCHESTER REBELS NIR EDITION SURRENDER After nearly two months trapped inside Rochester Castle, the rebel garrison laid down their arms yesterday and surrendered to the forces of King John. In the end it wasn’t siege engines or battering rams that defeated them, but hunger Emerging from the keep with their arms raised, the survivors appeared pale and weak from lack of food, yet they managed to keep their pride and dignity, winning the respect of their former foes, One elderly chronicler, who has witnessed more than his share of castle siege was heard to say: ‘Our age has not known a siege so hard-pressed nor so bravely resisted ...’ According to unconfirmed reports, the King initially planned to execute all the rebels, but was dissuaded from doing so by his chief advisor, Captain Savari de Mauléon, Perhaps the captain feared that this would lead to revenge killings of the Toyalist prisoners in rebel prisons. We understand the remaining rebels are currently under guard, awaiting transportation to the dungeons of Corfe Castle and other castles controlled by the King, So, the defence of Rochester was undermined by... undermining! Our main takeaway from this siege is the importance of building on rock, or surrounding your castle with a moat — anything to thwart those terrifying cunnellers! LEARNING FROM THE PAST So you want to build a Castle",2
But now they had come to western Turkey and it was no longer a game. She wouldn’c be searching for a squeaky toy. She would be looking for real live people in need of rescue. Kelly the rescue dog,2
"My voice doesn’t sound like my voice. It sounds like a growling, angry It’s not hard at all. I’m climbing fast = there are old tree roots to grab hold of. My hands are bleeding, But I don’t feel the pain, I’m almost there. Waiting for Goldie",2
"“This is your home from now on; croaked the raven, ‘Enjoy your meal!’ he cackled. Then. he flew away. Sedna looked about her. The peak was too steep for her to climb down, She was stranded. There was ‘one raw fish in the nese. Ie was the only food. Sedna began ro cry, Why the sea is Slaty",2
"“No, I don’t need clean socks,” said the Professor. “Now, where’s that fuse?” He began to look for his tool box. “Look out!” yelled Chip. “We’re going to crash!”Submarine adventure pg32/283_right.png",2
"At home, Dad told the children to start their jobs. “Tl put the shopping away,” he said. “You go and tidy your rooms. That big breakfast should give you lots of energy.”The big Breakfast pg32/216_left.png",2
"Wilf came to play. He had one of his new toys It was a space craft. Biff, Wilf and Kipper played with all the tous. Kipper said he wanted to be a robot when he grew up. “You can’t,” said Biff. “People can’t be robots.”Storm castle pg32/364_left.png",2
"‘Just over there? Monkey pointed to the riverbank. ‘The biggest crocodile swam to the riverbank and his crocodile brothers followed, smacking their lips at the thought of hunch at ase. But when they got to the riverbank, Monkey leaped off the biggest crocodile’s back and scampered up a tall coconut tree.Animal tricksters pg32/143_left.png",2
"82 ‘T'm not listening to this, by the way, put in Miss Bartlett seriously. “The judges have made their decisions already, but Sophia, listen — Martin and your mum are right. You deserve to be there just for all the work you've put in? I cleared my throat nervously. ‘The thing is, Sophia, I’ve had fun too. It’s been brilliant doing this with you, and I even enjoyed looking for the cockroaches: I grinned. ‘It’s worth it even if we come last. For the first time, I saw the twitch of a smile at the corner of Sophia's mouth. ‘Then she pursed her lips and glowered at me, but her eyes were sparkling, ‘No way are we coming last’ She shot a challenging grin at Miss Bartlett. ‘All right, it’s a deal. If you're sure you're OK, Mum?’ ‘Sophia, for goodness’ sake, I am one hundred per cent positive? ‘Right, Martin. Let’s go!” Double Exposure",2
"Diving the depths > ‘We ean explore the top layer of the sunlit zone easily by snorkelling ‘orscuba diving, Snorkellers stay on the surface of the water and use tube to breathe, Scuba divers use a tank filed with oxygen to help ‘them breathe underwater. ‘Air tube ~ the crved plastic tube sticks up out ofthe water 30 you can breathe fresh air through your mouth, + ‘Mosk ~ a aright mas stops the water Wetsuits ~ robber wetsuits from getting into your eyes and nose. hop divers and snarklless to keep warm in the water 3 q Weights ~ weights help suba divers to decend ito the water 7 . Exploring the deep",2
"2and July 1216 Just a few days ago we stood on the battlements and watched as Louiss army marched into view, his blue and gold banners streaming in the sea breeze. We were filled with trepidation - but then they did nothing except parade back and forth in front of the castle! Eventually our commander, Hubert de Burgh, got fed up and ordered some of us to dash out of the castle, capture one of the French on and throw him into the dungeons. This made Louts furious, and he FROM THE crossbowme began the siege in earnest! As I write, the walls are trembling as the French trebuchets and mangonels send t W transinc huge stones against us. | hope that if our stockade walls stand firm, we may yet hold out against them 2nd August 1216 The siege is going very well! Levis commanded the an Ihe army to set up camp oviide the castle and send everything we had erossbowmen — and all the while, a small we stockade. Once the tunnel was finished, against them: siege engines and tall towers full of We have now begun digging be: Hebert de Bonen Gitgng beneath the eastern tower ofthe North Gate. hike to imagine igh and the English soldi eae soldiers standing in the bailey, watch Wer unable to stop us diaghg ateay ot oh cane og watching cracks appear inthe French siege of Dover Castle curtain walls So you want to build a Castle",2
"Max spotted the familiar figures of Cat, Ant, Tiger and Nok running along the shoreline. There was someone else with them, too. “Seven!” cried Max. “The Moxorians saw that you had rescued Trikob,” Seven go.” id Cat, panting, “so they letThe contest pg32/552_left.png",2
"“Exactly; she told me, triumphantly. I swung my own camera at my side, unsure how to begin explaining, ‘Don’t you think they're kind of beautiful, chough?’ asked. “Wat, the seagulls?’ she said loudly, as if she was trying to goad me by using the wrong word. “Yeah. “They're savages? She shrugged. ‘I saw them nick an ice cream off a litele old lady last week. 25 Double Exposure",2
"MISSION: AFRICA Your mission is to release the black rhino. To reach the rhino, there are two possible paths to follow: Taatert at the rack formation, turn ta page 12. Big Game Adventure",2
"Chanter 7—-Atrap? “A castle in the Alps?” Max was immediately suspicious. “That sounds like the kind of place the Collector would use as a hideout.” “Remote. Fortified. Easy access to Swiss bank accounts. I have to agree.” Dani leaned back in her chair. “I just don’t know what we do about it.” “Send in Team X,” Max replied decisively. “This could be our chance to capture the Collector. Or at least find out what he’s up to.” “J can't take the risk. It might be a trap.” “Then we act fast,” Max pressed. “You said yourself that locating the Driller's signal was pure luck. The Collector won't be expecting us to appear so quickly. It'll give us the element of surprise.” “surprise?” Dani scoffed. “He'd be astonished if | did something that stupid.” “Then it’s perfect!” Tiger jumped up. “I've had lunch and I'm ready to go.” “hate to admit it, but Tiger's right.” Ant squared his small shoulders. “We should use the X-gate to teleport there right now, before he’s ready.” “1 don't know,” Dani said. “I'd never forgive myself if something happened to you.” ie Storm Chasers",2
"Again Lily stamped her foot and again the goblin appeared. “I have nothing left to give you,” she said. “But I need your help.” So the goblin thought, and replied, “Give me your first child and I will spin the straw into gold.”Rumpelstiltskin pg32/457_left.png",2
